sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
58707,IS-6MM-1/DSP,0,0,0,8.64,,
58708,IS-6MM-1R/DSP,0,0,0,9.43,,
58709,IS-6MM-2/DSP,6,5,1,11.20,,
58710,BB-6W-2S/DSP,0,0,0,22.53,,
58711,BB-12W-2S/DSP,0,0,0,25.07,,
58712,BB-24W-2S/DSP,0,0,0,30.73,,
58713,BB-12W-2NC/DSP,0,0,0,32.87,,
58714,BB-4S-150A/DSP,0,0,0,30.55,,
58715,TB-118-6P/DSP,4,2,2,9.06,,
58717,706-4W,4,2,2,78.18,,
58718,706-2W,2,0,2,42.62,,
58719,707,6,2,4,95.64,,
58720,705-50A,0,0,0,84.08,,
58721,705-80A,4,2,2,84.08,,
58722,705-100A,2,0,2,84.08,,
58723,705-135A,0,0,0,84.08,,
58724,705-150A,0,0,0,84.08,,
58725,ATC-6W,0,0,0,24.80,,
58726,ATC-6WQC,0,0,0,24.80,,
58727,80-712-0039-00,10,5,5,15.27,,
58728,810-15-CX,1,1,0,56.00,,
58731,810-30-CX,0,0,0,84.00,,
58733,ZDIGDTVDA,2,1,1,67.46,,
58741,HX380,91,49,42,160.22,,
58763,77030100,29,17,12,150.42,,
58765,77010050,2,1,1,129.99,,
58768,131902500,1,1,0,192.29,,
58805,GP1050-19,0,0,0,327.26,,
58806,900-DC,0,0,0,114.08,,
58807,OCTAFMDRSSYS12,0,0,0,1262.98,,
58809,901H,0,0,0,200.59,,
58810,901V,0,0,0,200.59,,
58811,CA82B-35R,0,0,0,2906.67,,
58812,902NMH,0,0,0,311.55,,
58813,902NMV,0,0,0,311.55,,
58814,904NM,0,0,0,393.76,,
58815,905NM,0,0,0,582.65,,
58817,764998,21,11,10,3.62,,
58818,765000,30,15,15,7.74,,
58819,765002,40,25,15,5.87,,
58820,765004,11,6,5,6.05,,
58821,765006,0,0,0,9.65,,
58822,765010,6,6,0,6.64,,
58823,765012,15,9,6,8.28,,
58824,750000,22,22,0,9.30,,
58825,760375,0,0,0,1.35,,
58826,760500,12,10,2,1.35,,
58827,301503,4,4,0,5.34,,
58828,301506,8,3,5,9.45,,
58829,304503,0,0,0,3.83,,
58830,304506,4,2,2,6.44,,
58831,306503,2,2,0,4.99,,
58832,906NMV,0,0,0,911.66,,
58834,OCTAFG0612,0,0,0,420.41,,
58838,OCTAFG1012,0,0,0,499.39,,
58841,OCTAFG1612,0,0,0,552.06,,
58847,NC36NM,0,0,0,920.33,,
58852,901V-DCSM,0,0,0,565.82,,
58865,902V-DCSM,0,0,0,628.48,,
